,2569-04-24,,,,,,,,Price performance,,,,,,,,,,,,,
,Ticker,Name,Country,Theme 1,Sub Theme,Sector 1,Sector 2,Inception date,YTD,1M,3M,6M,1Y,3Y,5Y,,Dividend yield (%),Trend,Trend,52-wk high,Trading value,RSI
,SNDK US Equity,SANDISK CORP,US,AI Supercycle,Data center buildout,Non-volatile storage - NAND,,2569-05-13,238.769800901032,32.7340280150324,98.0522514868309,400.875590889557,2787.67420253949,2490.08333333333,2490.08333333333,,#N/A N/A,Near 52 weeks high,,0.950430100632876,411799574467.108,63.8442719817139
,6809 HK Equity,MONTAGE TECHNOLOGY CO LTD-H,CN - A ,AI Supercycle,Chips buildout,Layer 1 - Fabless/Chips desginer,,2569-05-13,113.116290627522,30.9195419837689,113.116290627522,113.116290627522,113.116290627522,113.116290627522,113.116290627522,,0.194075509997394,Near 52 weeks high,,0.915594855305466,1699447784.0909,65.006048985547
,GEELY80 TB Equity,GEELY AUTOMOBILE HOLDINGS-DR,CN - H,Nextgen tech,,Automotive,,2568-09-10,34.2657396009752,10.9826633695922,46.5648913201485,15.6626551984304,23.8709726641255,23.8709726641255,23.8709726641255,,#N/A N/A,,RSI Overbought,0.738461538461538,2457883.97368421,57.3152739087332
,GEV US Equity,GE VERNOVA INC,US,AI Supercycle,Renewable energy,Energy components,,2569-05-13,69.1604738429843,26.4039322197909,72.6046937641706,96.7059669056623,218.879857971095,775.832380952381,775.832380952381,,0.173984150043931,Near 52 weeks high,,0.972570751723846,69602607714.3977,80.5193994015141
,PETROC80 TB Equity,PETROCHINA CO LTD-DR,CN - H,AI Supercycle,Traditional energy,Integrated oil & gas,,2568-11-11,41.566259315215,5.38116164271607,33.5227218541232,27.7173861213352,27.7173861213352,27.7173861213352,27.7173861213352,,2.50914898958612,,,0.979166666666667,442582.044342105,61.4491387361395
,UNIQLO80 TB Equity,FAST RETAILING CO LTD-DR,JP,Nextgen tech,,Consumer products,,,24.5614018356591,12.6984111846439,19.327729489623,21.3675197373089,31.4814797154179,52.6881699920982,52.6881699920982,,0.771126749230103,Near 52 weeks high,RSI Overbought,0.928104575163399,1027283.51595395,55.0776047551082
,MRVL80 TB Equity,MARVELL TECHNOLOGY INC-DR,US,AI Supercycle,Chips buildout,Layer 1 - Fabless/Chips desginer,,2569-03-11,89.1891859673165,90.4761872324003,89.1891859673165,89.1891859673165,89.1891859673165,89.1891859673165,89.1891859673165,,0.140000001660415,Near 52 weeks high,RSI Overbought,1,2928087.87894737,89.8117081322729
,CATL80 TB Equity,CONTEMPORARY AMPEREX TECH-DR,CN - A ,AI Supercycle,,Lithium,,2568-09-10,37.8048780487805,5.60747663551402,53.5326086956522,21.244635193133,61.4285714285714,61.4285714285714,61.4285714285714,,1.12403536264875,Near 52 weeks high,,0.926229508196721,4573436,57.8632670806995
,WUXIAT80 TB Equity,WUXI APPTEC CO LTD-DR,CN - H,Nextgen tech,,Pharmaceutical sciences,,2568-11-11,21.4285691579183,8.97435693659335,12.3347996615103,19.7183076204828,19.7183076204828,19.7183076204828,19.7183076204828,,#N/A N/A,New 52 weeks high,,0.953271028037383,588728.579761513,56.1164633231148
,SPENGY80 TB Equity,ENERGY SELECT SECTOR SPDR-DR,US,Thematic,,Energy,,2568-11-11,24.8322157251755,-5.10204008647374,20.0000009229106,26.530613218035,26.530613218035,26.530613218035,26.530613218035,,1.77204308490599,,,0.826666666666667,2225941.0631579,50.108463100939
,SBUX80 TB Equity,STARBUCKS CORP-DR,US,Nextgen tech,,Consumer products,,,22.1374064001418,5.26315946328012,5.96026647959324,15.1079153843063,20.3007536723201,20.3007536723201,20.3007536723201,,2.47749988920987,Near 52 weeks high,,0.975609756097561,151080.942467105,61.6820851216373
,NEE US Equity,NEXTERA ENERGY INC,US,AI Supercycle,Renewable energy,Electricity provider,,2569-05-13,18.929939453849,5.05348177253874,12.6126126126126,14.0267740789006,45.0640542577242,21.7737854251012,23.5082766585397,,2.58992207514775,Near 52 weeks high,,0.995346432264736,24332153643.6547,64.598273967318
,KO80 TB Equity,COCA-COLA CO/THE-DR,US,Nextgen tech,,Consumer products,,,12.8440384471088,0.819673694548062,9.82143027441841,6.95652339769447,5.12820675841764,5.12820675841764,5.12820675841764,,2.27479673013455,Near 52 weeks high,,0.953488372093023,445249.269473684,49.1112682358424
,ZJINNO80 TB Equity,ZHONGJI INNOLIGHT CO LTD-DR,CN - A ,AI Supercycle,Data center buildout,Photonics,,,64.8437418043613,48.5915419081567,64.8437418043613,64.8437418043613,64.8437418043613,64.8437418043613,64.8437418043613,,0.110900468718243,Near 52 weeks high,RSI Overbought,0.981395348837209,6375609.59421053,83.3559036720494
,NFLX80 TB Equity,NETFLIX INC-DR,US,Nextgen tech,,Media,,,4.86111044883728,-0.65789536425942,11.0294110634748,-17.9347831269969,-19.251337408382,-19.251337408382,-19.251337408382,,#N/A N/A,,RSI Overbought,0.616326530612245,10793600.3,46.2281605998418
,SINGTE80 TB Equity,SINGAPORE TELECOMMUNICATIONS,SG,Nextgen tech,,Communication services,,,7.27272900668058,-7.08661267137902,7.27272900668058,9.2592610253228,21.6494865024213,71.0144955178966,71.0144955178966,,3.6576271562253,Near 52 weeks high,,0.893939393939394,450139.507894737,29.189822427866
,PEP80 TB Equity,PEPSICO INC-DR,US,Nextgen tech,,Consumer products,,,12.2222211625841,2.02020105689463,10.9890099410172,2.02020105689463,16.0919529268111,16.0919529268111,16.0919529268111,,2.97029696331166,Near 52 weeks high,,0.935185185185185,255584.550082237,49.7547016989159
,NIKKEI80 TB Equity,NEXT FUNDS NIKKEI 225 EXC-DR,JP,Index,,Index,,2568-09-10,19.6261700068679,13.274337971105,16.3636380975897,16.3636380975897,31.2820532383063,31.2820532383063,31.2820532383063,,#N/A N/A,Near 52 weeks high,,1,124583.820847039,69.9914200408261
,SUNNY80 TB Equity,SUNNY OPTICAL TECHNOLOGY -DR,CN - H,AI Supercycle,Data center buildout,Photonics,,,12.0689614065762,17.1171128212869,12.0689614065762,12.0689614065762,12.0689614065762,12.0689614065762,12.0689614065762,,1.9161537862741,New 52 weeks high,,0.935251798561151,439118.632222222,58.443158690235
,6680 HK Equity,JL MAG RARE-EARTH CO LTD -H,CN - H,AI Supercycle,Chips buildout,Precious metals mining,,2569-05-13,0.103730482679179,3.2085520698425,-16.7385710221719,-17.7323135675169,45.1127762185003,57.7119447359391,-8.63905686598556,,2.32551289345934,,,0.658703071672355,392214049.406209,40.0685255234656
,600111 CH Equity,CHINA NORTHERN RARE EARTH -A,CN - A ,AI Supercycle,Chips buildout,Precious metals mining,,2569-05-13,0.832447552757301,3.7329856795494,-8.66202305014154,-7.71634757087947,105.391311645508,87.5347426695784,132.365969889163,,0.275190506417503,,,0.743117822872424,21485763923.1884,40.4026835907727
,BYDCOM80 TB Equity,BYD CO LTD-DR,CN - H,Nextgen tech,,Automotive,,,7.69230432999439,-6.66666958067152,7.69230432999439,-4.54545752568678,-75.294118418413,-57.1428584809206,-69.5652183415233,,0.399999996824634,,,0.205882352941176,6989395.63157895,46.317557777925
,GLD US Equity,SPDR GOLD SHARES,US,Geopolitics,,Commodity,,2569-05-13,8.22536908707443,6.65874842253731,-7.24338282763072,14.1767323585506,39.9162527996884,133.234132352145,158.355310477104,,#N/A N/A,,,0.845673925838729,126487347273.522,46.0320573431136
,ANET US Equity,ARISTA NETWORKS INC,US,AI Supercycle,Data center buildout,Networking,,2569-05-13,29.1541916167665,31.9189602446483,20.059838575007,12.1765700169029,129.180502058706,340.853346959632,759.874793658704,,#N/A N/A,Near 52 weeks high,,0.966774988794263,31433190745.2884,72.1122887615924
,TEL80 TB Equity,TOKYO ELECTRON LTD-DR,JP,AI Supercycle,Chips buildout,"Layer 4 - Other fab equipment - Manufacturing test, etch, deposition",,2569-03-11,14.7239310609782,14.7239310609782,14.7239310609782,14.7239310609782,14.7239310609782,14.7239310609782,14.7239310609782,,0.721283456220984,New 52 weeks high,RSI Overbought,0.99468085106383,281459.508764706,67.6903839811272
,CAMBRI80 TB Equity,CAMBRICON TECHNOLOGIES CO-DR,CN - A ,AI Supercycle,Chips buildout,Layer 1 - Fabless/Chips desginer,,2569-03-11,25.2427147430124,31.0975570988849,25.2427147430124,25.2427147430124,25.2427147430124,25.2427147430124,25.2427147430124,,#N/A N/A,New 52 weeks high,RSI Overbought,0.969924812030075,1601497.92315789,73.0174995303498
,NAURA80 TB Equity,NAURA TECHNOLOGY GROUP CO-DR,CN - A ,AI Supercycle,Chips buildout,"Layer 4 - Other fab equipment - Manufacturing test, etch, deposition",,2569-03-11,7.14285714285714,8.17307692307692,7.14285714285714,7.14285714285714,7.14285714285714,7.14285714285714,7.14285714285714,,#N/A N/A,Near 52 weeks high,,0.991189427312775,1391535.25263158,57.2848235666378
,AMD80 TB Equity,ADVANCED MICRO DEVICES IN-DR,US,AI Supercycle,Chips buildout,Layer 1 - Fabless/Chips desginer,,,48.6111183961233,63.3587866339065,35.4430446141883,37.1794939041138,224.242440136996,224.242440136996,224.242440136996,,#N/A N/A,Near 52 weeks high,RSI Overbought,1,43834669.3684211,88.0541479281793
,AMZN80 TB Equity,AMAZON.COM INC- DR,US,AI Supercycle,,Hyperscalers,,,15.0837956860079,20.4678329110843,10.7526850956742,13.8121515347813,35.5263120249698,35.5263120249698,35.5263120249698,,#N/A N/A,Near 52 weeks high,RSI Overbought,0.980952380952381,14933914.1578947,72.4533856972538
,MICRON80 TB Equity,MICRON TECHNOLOGY INC - DR,US,AI Supercycle,Chips buildout,Layer 6 - HBM,,2569-03-11,21.7054248780243,18.0451113478582,21.7054248780243,21.7054248780243,21.7054248780243,21.7054248780243,21.7054248780243,,9.83439504530779E-02,Near 52 weeks high,,0.98125,5384488.43684211,66.3045531090689
,AVGO80 TB Equity,BROADCOM INC-DR,US,AI Supercycle,Chips buildout,Layer 1 - Fabless/Chips desginer,,,23.6363649368286,30.7692321447226,36.0000014305115,19.2982468688697,114.173230599231,114.173230599231,114.173230599231,,0.505882335881538,Near 52 weeks high,RSI Overbought,0.97841726618705,12869916,77.2988373694965
,SANOFI80 TB Equity,SANOFI SA - DR,US,Nextgen tech,,Pharmaceutical sciences,,,2.66666412353516,5.47944944198818,4.76190216687261,-8.33333560398646,-12.9943524376821,-17.2043031261813,-17.2043031261813,,4.95941559602688,,,0.83695652173913,341054.990559211,53.4894954074542
,GOOG80 TB Equity,ALPHABET INC-DRX,US,AI Supercycle,,Hyperscalers,,,10.3238827786465,12.1399137708876,6.86274135813994,29.7619002205985,100.367640046512,100.367640046512,100.367640046512,,0.201834861291658,Near 52 weeks high,,0.981981981981982,36876266.8421053,72.8629685508802
